... loading data
... building the model
Elemwise{true_div,no_inplace}.0
... getting the pretraining functions
... loading data
... building the model
Elemwise{true_div,no_inplace}.0
... getting the pretraining functions
... pre-training the model
epoch 56, minibatch 300/300, validation error 11.320755 %
epoch 57, minibatch 300/300, validation error 11.320755 %
epoch 58, minibatch 300/300, validation error 11.320755 %
epoch 59, minibatch 300/300, validation error 9.433962 %
epoch 60, minibatch 300/300, validation error 9.433962 %
epoch 61, minibatch 300/300, validation error 11.320755 %
epoch 62, minibatch 300/300, validation error 11.320755 %
epoch 63, minibatch 300/300, validation error 11.320755 %
epoch 64, minibatch 300/300, validation error 11.320755 %
epoch 65, minibatch 300/300, validation error 11.320755 %
epoch 66, minibatch 300/300, validation error 11.320755 %
epoch 67, minibatch 300/300, validation error 9.433962 %
epoch 68, minibatch 300/300, validation error 11.320755 %
epoch 69, minibatch 300/300, validation error 9.433962 %
epoch 70, minibatch 300/300, validation error 9.433962 %
epoch 71, minibatch 300/300, validation error 9.433962 %
epoch 72, minibatch 300/300, validation error 9.433962 %
epoch 73, minibatch 300/300, validation error 9.433962 %
epoch 74, minibatch 300/300, validation error 9.433962 %
epoch 75, minibatch 300/300, validation error 11.320755 %
epoch 76, minibatch 300/300, validation error 11.320755 %
epoch 77, minibatch 300/300, validation error 11.320755 %
epoch 78, minibatch 300/300, validation error 11.320755 %
epoch 79, minibatch 300/300, validation error 11.320755 %
epoch 80, minibatch 300/300, validation error 11.320755 %
epoch 81, minibatch 300/300, validation error 11.320755 %
epoch 82, minibatch 300/300, validation error 11.320755 %
epoch 83, minibatch 300/300, validation error 11.320755 %
epoch 84, minibatch 300/300, validation error 9.433962 %
epoch 85, minibatch 300/300, validation error 15.094340 %
epoch 86, minibatch 300/300, validation error 11.320755 %
epoch 87, minibatch 300/300, validation error 11.320755 %
epoch 88, minibatch 300/300, validation error 9.433962 %
epoch 89, minibatch 300/300, validation error 11.320755 %
epoch 90, minibatch 300/300, validation error 9.433962 %
epoch 91, minibatch 300/300, validation error 9.433962 %
epoch 92, minibatch 300/300, validation error 11.320755 %
epoch 93, minibatch 300/300, validation error 9.433962 %
epoch 94, minibatch 300/300, validation error 9.433962 %
epoch 95, minibatch 300/300, validation error 9.433962 %
epoch 96, minibatch 300/300, validation error 9.433962 %
epoch 97, minibatch 300/300, validation error 9.433962 %
epoch 98, minibatch 300/300, validation error 11.320755 %
epoch 99, minibatch 300/300, validation error 9.433962 %
epoch 100, minibatch 300/300, validation error 9.433962 %
best logistic values:
Optimization complete with best validation score of 5.660377 %, on iteration 8400, with test performance 10.000000 %
... loading data
... building the model
Elemwise{true_div,no_inplace}.0
... getting the pretraining functions
... pre-training the model
... getting the finetuning functions
40
53
... finetuning the model
epoch 1, minibatch 300/300, validation error 18.867925 %
     epoch 1, minibatch 300/300, test error of best model 10.000000 %
epoch 2, minibatch 300/300, validation error 18.867925 %
epoch 3, minibatch 300/300, validation error 18.867925 %
epoch 4, minibatch 300/300, validation error 18.867925 %
epoch 5, minibatch 300/300, validation error 9.433962 %
     epoch 5, minibatch 300/300, test error of best model 10.000000 %
epoch 6, minibatch 300/300, validation error 7.547170 %
     epoch 6, minibatch 300/300, test error of best model 10.000000 %
epoch 7, minibatch 300/300, validation error 11.320755 %
epoch 8, minibatch 300/300, validation error 11.320755 %
epoch 9, minibatch 300/300, validation error 9.433962 %
epoch 10, minibatch 300/300, validation error 9.433962 %
epoch 11, minibatch 300/300, validation error 9.433962 %
epoch 12, minibatch 300/300, validation error 9.433962 %
epoch 13, minibatch 300/300, validation error 9.433962 %
epoch 14, minibatch 300/300, validation error 9.433962 %
epoch 15, minibatch 300/300, validation error 9.433962 %
epoch 16, minibatch 300/300, validation error 9.433962 %
epoch 17, minibatch 300/300, validation error 9.433962 %
epoch 18, minibatch 300/300, validation error 9.433962 %
epoch 19, minibatch 300/300, validation error 9.433962 %
epoch 20, minibatch 300/300, validation error 9.433962 %
epoch 21, minibatch 300/300, validation error 9.433962 %
epoch 22, minibatch 300/300, validation error 9.433962 %
epoch 23, minibatch 300/300, validation error 9.433962 %
epoch 24, minibatch 300/300, validation error 9.433962 %
epoch 25, minibatch 300/300, validation error 9.433962 %
epoch 26, minibatch 300/300, validation error 9.433962 %
epoch 27, minibatch 300/300, validation error 9.433962 %
epoch 28, minibatch 300/300, validation error 9.433962 %
epoch 29, minibatch 300/300, validation error 9.433962 %
epoch 30, minibatch 300/300, validation error 9.433962 %
epoch 31, minibatch 300/300, validation error 9.433962 %
epoch 32, minibatch 300/300, validation error 9.433962 %
epoch 33, minibatch 300/300, validation error 9.433962 %
epoch 34, minibatch 300/300, validation error 9.433962 %
epoch 35, minibatch 300/300, validation error 9.433962 %
epoch 36, minibatch 300/300, validation error 9.433962 %
epoch 37, minibatch 300/300, validation error 9.433962 %
epoch 38, minibatch 300/300, validation error 9.433962 %
epoch 39, minibatch 300/300, validation error 9.433962 %
epoch 40, minibatch 300/300, validation error 9.433962 %
epoch 41, minibatch 300/300, validation error 9.433962 %
epoch 42, minibatch 300/300, validation error 9.433962 %
epoch 43, minibatch 300/300, validation error 11.320755 %
epoch 44, minibatch 300/300, validation error 11.320755 %
epoch 45, minibatch 300/300, validation error 11.320755 %
epoch 46, minibatch 300/300, validation error 11.320755 %
epoch 47, minibatch 300/300, validation error 11.320755 %
epoch 48, minibatch 300/300, validation error 11.320755 %
epoch 49, minibatch 300/300, validation error 11.320755 %
epoch 50, minibatch 300/300, validation error 11.320755 %
epoch 51, minibatch 300/300, validation error 11.320755 %
epoch 52, minibatch 300/300, validation error 11.320755 %
epoch 53, minibatch 300/300, validation error 11.320755 %
epoch 54, minibatch 300/300, validation error 11.320755 %
epoch 55, minibatch 300/300, validation error 11.320755 %
epoch 56, minibatch 300/300, validation error 11.320755 %
epoch 57, minibatch 300/300, validation error 11.320755 %
epoch 58, minibatch 300/300, validation error 11.320755 %
epoch 59, minibatch 300/300, validation error 11.320755 %
epoch 60, minibatch 300/300, validation error 11.320755 %
epoch 61, minibatch 300/300, validation error 11.320755 %
epoch 62, minibatch 300/300, validation error 11.320755 %
epoch 63, minibatch 300/300, validation error 11.320755 %
epoch 64, minibatch 300/300, validation error 11.320755 %
epoch 65, minibatch 300/300, validation error 11.320755 %
epoch 66, minibatch 300/300, validation error 11.320755 %
epoch 67, minibatch 300/300, validation error 11.320755 %
epoch 68, minibatch 300/300, validation error 11.320755 %
epoch 69, minibatch 300/300, validation error 11.320755 %
epoch 70, minibatch 300/300, validation error 11.320755 %
epoch 71, minibatch 300/300, validation error 11.320755 %
epoch 72, minibatch 300/300, validation error 11.320755 %
epoch 73, minibatch 300/300, validation error 9.433962 %
epoch 74, minibatch 300/300, validation error 9.433962 %
epoch 75, minibatch 300/300, validation error 9.433962 %
epoch 76, minibatch 300/300, validation error 9.433962 %
epoch 77, minibatch 300/300, validation error 9.433962 %
epoch 78, minibatch 300/300, validation error 9.433962 %
epoch 79, minibatch 300/300, validation error 9.433962 %
epoch 80, minibatch 300/300, validation error 9.433962 %
epoch 81, minibatch 300/300, validation error 9.433962 %
epoch 82, minibatch 300/300, validation error 9.433962 %
epoch 83, minibatch 300/300, validation error 9.433962 %
epoch 84, minibatch 300/300, validation error 9.433962 %
epoch 85, minibatch 300/300, validation error 9.433962 %
epoch 86, minibatch 300/300, validation error 9.433962 %
epoch 87, minibatch 300/300, validation error 9.433962 %
epoch 88, minibatch 300/300, validation error 9.433962 %
epoch 89, minibatch 300/300, validation error 9.433962 %
epoch 90, minibatch 300/300, validation error 9.433962 %
epoch 91, minibatch 300/300, validation error 9.433962 %
epoch 92, minibatch 300/300, validation error 9.433962 %
epoch 93, minibatch 300/300, validation error 9.433962 %
epoch 94, minibatch 300/300, validation error 9.433962 %
epoch 95, minibatch 300/300, validation error 9.433962 %
epoch 96, minibatch 300/300, validation error 9.433962 %
epoch 97, minibatch 300/300, validation error 9.433962 %
epoch 98, minibatch 300/300, validation error 9.433962 %
epoch 99, minibatch 300/300, validation error 9.433962 %
epoch 100, minibatch 300/300, validation error 9.433962 %
best logistic values:
Optimization complete with best validation score of 7.547170 %, on iteration 1800, with test performance 10.000000 %
... loading data
... building the model
Elemwise{true_div,no_inplace}.0
... getting the pretraining functions
... pre-training the model
... getting the finetuning functions
40
53
... finetuning the model
epoch 1, minibatch 300/300, validation error 18.867925 %
     epoch 1, minibatch 300/300, test error of best model 10.000000 %
epoch 2, minibatch 300/300, validation error 18.867925 %
epoch 3, minibatch 300/300, validation error 18.867925 %
epoch 4, minibatch 300/300, validation error 18.867925 %
epoch 5, minibatch 300/300, validation error 9.433962 %
     epoch 5, minibatch 300/300, test error of best model 10.000000 %
epoch 6, minibatch 300/300, validation error 7.547170 %
     epoch 6, minibatch 300/300, test error of best model 10.000000 %
epoch 7, minibatch 300/300, validation error 11.320755 %
epoch 8, minibatch 300/300, validation error 11.320755 %
epoch 9, minibatch 300/300, validation error 9.433962 %
epoch 10, minibatch 300/300, validation error 9.433962 %
epoch 11, minibatch 300/300, validation error 9.433962 %
epoch 12, minibatch 300/300, validation error 9.433962 %
epoch 13, minibatch 300/300, validation error 9.433962 %
epoch 14, minibatch 300/300, validation error 9.433962 %
epoch 15, minibatch 300/300, validation error 9.433962 %
epoch 16, minibatch 300/300, validation error 9.433962 %
epoch 17, minibatch 300/300, validation error 9.433962 %
epoch 18, minibatch 300/300, validation error 9.433962 %
epoch 19, minibatch 300/300, validation error 9.433962 %
epoch 20, minibatch 300/300, validation error 9.433962 %
epoch 21, minibatch 300/300, validation error 9.433962 %
epoch 22, minibatch 300/300, validation error 9.433962 %
epoch 23, minibatch 300/300, validation error 9.433962 %
epoch 24, minibatch 300/300, validation error 9.433962 %
epoch 25, minibatch 300/300, validation error 9.433962 %
epoch 26, minibatch 300/300, validation error 9.433962 %
epoch 27, minibatch 300/300, validation error 9.433962 %
epoch 28, minibatch 300/300, validation error 9.433962 %
epoch 29, minibatch 300/300, validation error 9.433962 %
epoch 30, minibatch 300/300, validation error 9.433962 %
epoch 31, minibatch 300/300, validation error 9.433962 %
epoch 32, minibatch 300/300, validation error 9.433962 %
epoch 33, minibatch 300/300, validation error 9.433962 %
epoch 34, minibatch 300/300, validation error 9.433962 %
epoch 35, minibatch 300/300, validation error 9.433962 %
epoch 36, minibatch 300/300, validation error 9.433962 %
epoch 37, minibatch 300/300, validation error 9.433962 %
epoch 38, minibatch 300/300, validation error 9.433962 %
epoch 39, minibatch 300/300, validation error 9.433962 %
epoch 40, minibatch 300/300, validation error 9.433962 %
epoch 41, minibatch 300/300, validation error 9.433962 %
epoch 42, minibatch 300/300, validation error 9.433962 %
epoch 43, minibatch 300/300, validation error 11.320755 %
epoch 44, minibatch 300/300, validation error 11.320755 %
epoch 45, minibatch 300/300, validation error 11.320755 %
epoch 46, minibatch 300/300, validation error 11.320755 %
epoch 47, minibatch 300/300, validation error 11.320755 %
epoch 48, minibatch 300/300, validation error 11.320755 %
epoch 49, minibatch 300/300, validation error 11.320755 %
epoch 50, minibatch 300/300, validation error 11.320755 %
epoch 51, minibatch 300/300, validation error 11.320755 %
epoch 52, minibatch 300/300, validation error 11.320755 %
epoch 53, minibatch 300/300, validation error 11.320755 %
epoch 54, minibatch 300/300, validation error 11.320755 %
epoch 55, minibatch 300/300, validation error 11.320755 %
epoch 56, minibatch 300/300, validation error 11.320755 %
epoch 57, minibatch 300/300, validation error 11.320755 %
epoch 58, minibatch 300/300, validation error 11.320755 %
epoch 59, minibatch 300/300, validation error 11.320755 %
epoch 60, minibatch 300/300, validation error 11.320755 %
epoch 61, minibatch 300/300, validation error 11.320755 %
epoch 62, minibatch 300/300, validation error 11.320755 %
epoch 63, minibatch 300/300, validation error 11.320755 %
epoch 64, minibatch 300/300, validation error 11.320755 %
epoch 65, minibatch 300/300, validation error 11.320755 %
epoch 66, minibatch 300/300, validation error 11.320755 %
epoch 67, minibatch 300/300, validation error 11.320755 %
epoch 68, minibatch 300/300, validation error 11.320755 %
epoch 69, minibatch 300/300, validation error 11.320755 %
epoch 70, minibatch 300/300, validation error 11.320755 %
epoch 71, minibatch 300/300, validation error 11.320755 %
epoch 72, minibatch 300/300, validation error 11.320755 %
epoch 73, minibatch 300/300, validation error 9.433962 %
epoch 74, minibatch 300/300, validation error 9.433962 %
epoch 75, minibatch 300/300, validation error 9.433962 %
epoch 76, minibatch 300/300, validation error 9.433962 %
epoch 77, minibatch 300/300, validation error 9.433962 %
epoch 78, minibatch 300/300, validation error 9.433962 %
epoch 79, minibatch 300/300, validation error 9.433962 %
epoch 80, minibatch 300/300, validation error 9.433962 %
epoch 81, minibatch 300/300, validation error 9.433962 %
epoch 82, minibatch 300/300, validation error 9.433962 %
epoch 83, minibatch 300/300, validation error 9.433962 %
epoch 84, minibatch 300/300, validation error 9.433962 %
epoch 85, minibatch 300/300, validation error 9.433962 %
epoch 86, minibatch 300/300, validation error 9.433962 %
epoch 87, minibatch 300/300, validation error 9.433962 %
epoch 88, minibatch 300/300, validation error 9.433962 %
epoch 89, minibatch 300/300, validation error 9.433962 %
epoch 90, minibatch 300/300, validation error 9.433962 %
epoch 91, minibatch 300/300, validation error 9.433962 %
epoch 92, minibatch 300/300, validation error 9.433962 %
epoch 93, minibatch 300/300, validation error 9.433962 %
epoch 94, minibatch 300/300, validation error 9.433962 %
epoch 95, minibatch 300/300, validation error 9.433962 %
epoch 96, minibatch 300/300, validation error 9.433962 %
epoch 97, minibatch 300/300, validation error 9.433962 %
epoch 98, minibatch 300/300, validation error 9.433962 %
epoch 99, minibatch 300/300, validation error 9.433962 %
epoch 100, minibatch 300/300, validation error 9.433962 %
best logistic values:
Optimization complete with best validation score of 7.547170 %, on iteration 1800, with test performance 10.000000 %
